date,amount,category,description
17-03-2025,1000,Income,Salary
18-03-2025, 900, Income, Freelance Work
19-03-2025, 1200, Income, Bonus
20-03-2025, 1500, Income, Project Payment
21-03-2025, 2000, Income, Business Profit
22-03-2025, 1800, Income, Investment Return
23-03-2025, 2200, Income, Commission
24-03-2025, 2500, Income, Stock Dividends
25-03-2025, 1100, Income, Side Job
26-03-2025, 950, Income, Interest Earned
27-03-2025, 1750, Income, Overtime Pay
28-03-2025, 1300, Income, Consulting Fees
29-03-2025, 1600, Income, Rent Payment Received
30-03-2025, 1900, Income, Bonus Incentive
31-03-2025, 1400, Income, Passive Income
01-04-2025, 2100, Income, Contract Work
02-04-2025, 1050, Income, Profit Share
03-04-2025, 1950, Income, Dividend Income
04-04-2025, 1550, Income, Pension Payment
05-04-2025, 1250, Income, Royalty Payment
06-04-2025, 1700, Income, Referral Bonus